Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.11252031,0.048457393
CO (Launch),0.355687311,0.431240878
CO2 (Launch),11.069663846,0.980618201
NOx (Launch),0.193102571,0.016292366
H2O (Launch),14.200932414,3.214300473
Al2O3 (Launch),3.33315598,0.030757899
Cl (Launch),0.176200453,0.004782478
HCl (Launch),1.452310919,0.006189089
Cl2 (Launch),0.576654878,0.009283634
NOx (Reentry),1.390104625,0.0
Al2O3 (Reentry),0.751097555,0.0
BC (Reentry),0.04337568,0.0
Cl (Reentry),0.01596216,0.0
HCl (Reentry),0.008306595,0.0
Cly (Total),2.229435005,0.020255202
NOx (Total),1.583207196,0.016292366
Total Emis,33.679075297,4.741922411
Total Prop,23.493690806,4.175641446
Surviving Mass,2.67243335,2.67243335
