Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.089373046,0.04433425
CO (Launch),0.303634082,0.403183524
CO2 (Launch),9.159024973,0.915254126
NOx (Launch),0.149919635,0.014454332
H2O (Launch),8.735295188,1.730951642
Al2O3 (Launch),1.809443419,0.019789713
Cl (Launch),0.103749835,0.003077059
HCl (Launch),0.768970255,0.003982076
Cl2 (Launch),0.324380609,0.005973115
NOx (Reentry),0.83431982,0.0
Al2O3 (Reentry),0.49039872,0.0
BC (Reentry),0.016993166,0.0
Cl (Reentry),0.006309896,0.0
HCl (Reentry),0.003158998,0.0
Cly (Total),1.206569593,0.01303225
NOx (Total),0.984239455,0.014454332
Total Emis,22.794971642,3.140999838
Total Prop,16.60509067,2.926243497
Surviving Mass,1.436962593,1.436962593
