Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.002370166,0.001356494
CO (Launch),0.011708315,0.019008209
CO2 (Launch),0.332769672,0.038056792
NOx (Launch),0.002932712,3.1888e-05
H2O (Launch),0.155478558,0.027182552
Al2O3 (Launch),9.1852e-05,0.000523467
Cl (Launch),1.4419e-05,8.1393e-05
HCl (Launch),1.8576e-05,0.000105332
Cl2 (Launch),2.7773e-05,0.000157998
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),6.0768e-05,0.000344722
NOx (Total),0.002932712,3.1888e-05
Total Emis,0.505412042,0.086504124
Total Prop,0.362332302,0.062963734
Surviving Mass,0.0,0.0
