Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.00168347,0.001116723
CO (Launch),0.009834959,0.016141728
CO2 (Launch),0.212839023,0.032334216
NOx (Launch),0.001086316,0.0
H2O (Launch),0.086236434,0.021794636
Al2O3 (Launch),0.0,0.0
Cl (Launch),0.0,0.0
HCl (Launch),0.0,0.0
Cl2 (Launch),0.0,0.0
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.0,0.0
NOx (Total),0.001086316,0.0
Total Emis,0.311680202,0.071387304
Total Prop,0.200846409,0.050760151
Surviving Mass,0.0,0.0
