Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.115242386,0.058543741
CO (Launch),0.38227472,0.506143761
CO2 (Launch),10.714535821,1.160249638
NOx (Launch),0.202408039,0.020564691
H2O (Launch),12.947407224,3.202714919
Al2O3 (Launch),2.564278162,0.040753447
Cl (Launch),0.143341114,0.006336664
HCl (Launch),1.095662007,0.008200389
Cl2 (Launch),0.457485012,0.012300583
NOx (Reentry),1.2017544,0.0
Al2O3 (Reentry),0.65436076,0.0
BC (Reentry),0.03522588,0.0
Cl (Reentry),0.012994024,0.0
HCl (Reentry),0.006693612,0.0
Cly (Total),1.716175769,0.026837636
NOx (Total),1.404162439,0.020564691
Total Emis,30.533663162,5.015807833
Total Prop,22.485626276,4.56615311
Surviving Mass,2.3516156,2.3516156
