,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.35596848522032026
1,CO (Launch),1.6183421912618794
2,CO2 (Launch),43.40048398041993
3,NOx (Launch),0.3847677191861232
4,H2O (Launch),24.547398744487694
5,Al2O3 (Launch),1.9127319292520204
6,Cl (Launch),0.10140433610235919
7,HCl (Launch),0.8310053326375682
8,Cl2 (Launch),0.3330250543044617
9,NOx (Reentry),1.6006798571999978
10,Al2O3 (Reentry),0.8348544227599999
11,BC (Reentry),0.0386053540880001
12,Cl (Reentry),0.014355317719999995
13,HCl (Reentry),0.007142251543999981
14,Cly (Total),1.2869322923083892
15,NOx (Total),1.985447576386121
16,Total Emis,75.98076497618435
17,Total Prop,51.913355452866284
18,Surviving Mass,3.7165172835999862
