Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.486439261,0.420083531
CO (Launch),2.329561558,5.787635695
CO2 (Launch),63.118058135,11.840597152
NOx (Launch),0.522063028,0.01886551
H2O (Launch),33.410061943,9.540673037
Al2O3 (Launch),1.428893518,0.118521317
Cl (Launch),0.080496908,0.018428619
HCl (Launch),0.610164863,0.023848802
Cl2 (Launch),0.25467269,0.035773203
NOx (Reentry),1.938528491,0.0
Al2O3 (Reentry),0.964780751,0.0
BC (Reentry),0.053759581,0.0
Cl (Reentry),0.020023324,0.0
HCl (Reentry),0.0098903,0.0
Cly (Total),0.975248087,0.078050624
NOx (Total),2.460591519,0.01886551
Total Emis,105.227394352,27.804426867
Total Prop,73.142923955,20.875352984
Surviving Mass,4.875901695,4.875901695
