Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.153470376,0.07622295
CO (Launch),0.698493262,0.905242509
CO2 (Launch),18.439070888,1.906398756
NOx (Launch),0.176227784,0.012017024
H2O (Launch),9.626863769,1.632713031
Al2O3 (Launch),0.669304176,0.009736882
Cl (Launch),0.033307928,0.001513966
HCl (Launch),0.295609464,0.001959251
Cl2 (Launch),0.113884272,0.002938876
NOx (Reentry),1.114909675,0.0
Al2O3 (Reentry),0.66814496,0.0
BC (Reentry),0.029043389,0.0
Cl (Reentry),0.010737467,0.0
HCl (Reentry),0.005478278,0.0
Cly (Total),0.459017409,0.006412093
NOx (Total),1.291137459,0.012017024
Total Emis,32.034545688,4.548743245
Total Prop,21.983767717,3.80051264
Surviving Mass,1.82489,1.82489
