Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.103839942,0.058600412
CO (Launch),0.447989443,0.640367144
CO2 (Launch),11.63140073,1.379477438
NOx (Launch),0.140187246,0.012619696
H2O (Launch),6.83385959,1.316016904
Al2O3 (Launch),0.587297005,0.012102975
Cl (Launch),0.029457865,0.001881865
HCl (Launch),0.258852379,0.002435355
Cl2 (Launch),0.100236697,0.003653032
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),0.38854694,0.007970252
NOx (Total),0.140187246,0.012619696
Total Emis,20.133120896,3.427154823
Total Prop,15.53491147,3.031562073
Surviving Mass,0.0,0.0
